bsn,Name,Type
06Y03,Arndt-Gymnasium Dahlem,Altsprachliche Klassen
11Y09,Barnim-Gymnasium,Altsprachliche Klassen
01Y09,Diesterweg-Gymnasium,Altsprachliche Klassen
07Y07,Eckener-Gymnasium,Altsprachliche Klassen
12Y02,Europäisches Gymnasium Bertha-von-Suttner,Altsprachliche Klassen
04Y11,Goethe-Gymnasium,Altsprachliche Klassen
06Y13,Gymnasium Steglitz,Altsprachliche Klassen
03Y04,Heinrich-Schliemann-Gymnasium,Altsprachliche Klassen
04Y06,Heinz-Berggruen-Gymnasium,Altsprachliche Klassen
05Y02,Kant-Gymnasium,Altsprachliche Klassen
06Y01,Schadow-Gymnasium,Altsprachliche Klassen
03Y08,Carl-von-Ossietzky-Gymnasium,Bilinguale Klassen (Deutsch-Französisch)
12Y01,Friedrich-Engels-Gymnasium,Bilinguale Klassen (Deutsch-Spanisch)
05Y03,Hans-Carossa-Gymnasium,Bilinguale Klassen (Deutsch-Englisch)
11Y02,Johann-Gottfried-Herder-Gymnasium,Bilinguale Klassen (Deutsch-Englisch)
03Y14,Primo-Levi-Gymnasium,Bilinguale Klassen (Deutsch-Englisch)
12Y07,Romain-Rolland-Gymnasium,Bilinguale Klassen (Deutsch-Französisch)
07Y02,Rückert-Gymnasium,Bilinguale Klassen (Deutsch-Französisch)
01Y07,Französisches Gymnasium,Neusprachliche Klassen
07K03,Gustav-Heinemann-Oberschule,Neusprachliche Klassen (Japanisch als 2. Fremdsprache)
02Y01,Andreas-Gymnasium,Mathematisch-naturwissenschaftlich profilierte Klassen
02Y03,Heinrich-Hertz-Gymnasium,Mathematisch-naturwissenschaftlich profilierte Klassen
04Y05,Herder-Gymnasium,Mathematisch-naturwissenschaftlich profilierte Klassen
11Y11,Immanuel-Kant-Gymnasium,Mathematisch-naturwissenschaftlich profilierte Klassen
03Y03,Käthe-Kollwitz-Gymnasium,Mathematisch-naturwissenschaftlich profilierte Klassen
07Y07,Eckener-Gymnasium,Naturwissenschaftlich profilierte Klassen
09Y11,Emmy-Noether-Gymnasium,Naturwissenschaftlich profilierte Klassen
05Y01,Freiherr-vom-Stein-Gymnasium,Naturwissenschaftlich profilierte Klassen
05Y03,Hans-Carossa-Gymnasium,Naturwissenschaftlich profilierte Klassen
04Y08,Hildegard-Wegscheider-Gymnasium,Naturwissenschaftlich profilierte Klassen
10Y11,Melanchthon-Gymnasium,Naturwissenschaftlich profilierte Klassen
02Y04,Georg-Friedrich-Händel-Gymnasium,Musikprofilierte Klassen
10Y11,Melanchthon-Gymnasium,Musikprofilierte Klassen
01Y04,Musikgymnasium Carl Philipp Emanuel Bach,Musikprofilierte Klassen
11A07,Schul- und Leistungssportzentrum Berlin (Sportforum),Sportbetonte Klassen
04A08,Sportschule im Olympiapark (Poelchau-Schule),Sportbetonte Klassen
03B08,Staatliche Ballettschule Berlin und Schule für Artistik,Sportbetonte Klassen
08Y01,Albrecht-Dürer-Gymnasium,Schnelllerner-Klassen
02Y05,Dathe-Gymnasium,Schnelllerner-Klassen
12Y03,Humboldt-Gymnasium,Schnelllerner-Klassen
01Y08,Lessing-Gymnasium,Schnelllerner-Klassen
10Y02,Otto-Nagel-Gymnasium,Schnelllerner-Klassen
03Y10,Rosa-Luxemburg-Gymnasium,Schnelllerner-Klassen
06Y05,Werner-von-Siemens-Gymnasium,Schnelllerner-Klassen
01P18,Bilinguale Schule Phorms Berlin Mitte,Bilinguale Klassen
01P06,Canisius-Kolleg,Altsprachliche Klassen
12P03,Evangelische Schule Frohnau,Neusprachliche Klassen
09P07,Evangelische Schule Köpenick,Musikprofilierte Klassen
04P11,Evangelisches Gymnasium zum Grauen Kloster,Altsprachliche Klassen
01P03,Jüdisches Gymnasium Moses Mendelssohn,Bilinguale Klassen
04P04,Katholische Schule Liebfrauen,Altsprachliche
03P10,Katholische Theresienschule,Neusprachliche Klassen
06P06,Königin-Luise-Stiftung,Musikprofilierte
04P24,Moser-Schule - Schweizer Gymnasium,Bilinguale Klassen
